sessionId,raceId,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fa-7,fa-1,2023,1,11,11,0,False,,14,chloe-chong,prema-racing,16,25:09.738,1509738,19110,,False,5,1:33.163,93163,164.74
fa-7,fa-1,2023,1,12,12,0,False,,5,emely-de-heus,mp-motorsport,16,25:10.288,1510288,19660,,False,3,1:33.162,93162,164.68
fa-7,fa-1,2023,1,13,13,0,False,,2,lola-lovinfosse,campos-racing,16,25:15.840,1515840,25220,,False,5,1:33.385,93385,164.07
fa-7,fa-1,2023,1,14,14,0,False,,3,maite-caceres,campos-racing,16,25:18.413,1518413,27790,,False,15,1:33.692,93692,163.80
fa-8,fa-2,2023,2,1,1,,False,,1,nerea-marti,campos-racing,18,1:34.416,94416,,,False,14,,,152.7
fa-8,fa-2,2023,2,2,2,,False,,10,abbi-pulling,rodin-carlin,13,1:34.684,94684,268,,False,6,,,152.3
fa-8,fa-2,2023,2,3,3,,False,,7,lena-buhler,art-grand-prix,16,1:34.833,94833,417,,False,11,,,152.0
fa-8,fa-2,2023,2,4,4,,False,,4,hamda-al-qubaisi,mp-motorsport,12,1:34.895,94895,479,,False,10,,,151.9
fa-8,fa-2,2023,2,5,5,,False,,16,bianca-bustamante,prema-racing,8,1:34.917,94917,501,,False,7,,,151.9
fa-8,fa-2,2023,2,6,6,,False,,8,carrie-schreiner,art-grand-prix,17,1:35.019,95019,603,,False,14,,,151.7
fa-8,fa-2,2023,2,7,7,,False,,9,chloe-grant,art-grand-prix,16,1:35.187,95187,771,,False,11,,,151.5
fa-8,fa-2,2023,2,8,8,,False,,3,maite-caceres,campos-racing,14,1:35.279,95279,863,,False,6,,,151.3
fa-8,fa-2,2023,2,9,9,,False,,6,amna-al-qubaisi,mp-motorsport,17,1:35.302,95302,886,,False,12,,,151.3
fa-8,fa-2,2023,2,10,10,,False,,2,lola-lovinfosse,campos-racing,14,1:35.470,95470,1054,,False,12,,,151.0
fa-8,fa-2,2023,2,11,11,,False,,5,emely-de-heus,mp-motorsport,14,1:35.556,95556,1140,,False,10,,,150.9
fa-8,fa-2,2023,2,12,12,,False,,12,megan-gilkes,rodin-carlin,16,1:35.810,95810,1394,,False,13,,,150.5
fa-8,fa-2,2023,2,13,13,,False,,14,chloe-chong,prema-racing,8,1:35.867,95867,1451,,False,7,,,150.4
fa-8,fa-2,2023,2,14,14,,False,,11,jessica-edgar,rodin-carlin,18,1:36.156,96156,1740,,False,13,,,149.9
fa-8,fa-2,2023,2,15,15,,False,,15,marta-garcia,prema-racing,3,1:40.340,100340,5924,,False,2,,,143.7
fa-9,fa-2,2023,2,1,1,,False,,15,marta-garcia,prema-racing,13,1:34.549,94549,,,False,12,,,152.5
fa-9,fa-2,2023,2,2,2,,False,,16,bianca-bustamante,prema-racing,13,1:35.314,95314,765,,False,6,,,151.3
fa-9,fa-2,2023,2,3,3,,False,,4,hamda-al-qubaisi,mp-motorsport,11,1:35.333,95333,784,,False,6,,,151.2
fa-9,fa-2,2023,2,4,4,,False,,10,abbi-pulling,rodin-carlin,16,1:35.601,95601,1052,,False,13,,,150.8
fa-9,fa-2,2023,2,5,5,,False,,6,amna-al-qubaisi,mp-motorsport,11,1:35.717,95717,1168,,False,6,,,150.6
fa-9,fa-2,2023,2,6,6,,False,,7,lena-buhler,art-grand-prix,14,1:35.807,95807,1258,,False,8,,,150.5
fa-9,fa-2,2023,2,7,7,,False,,8,carrie-schreiner,art-grand-prix,11,1:35.887,95887,1338,,False,5,,,150.4
fa-9,fa-2,2023,2,8,8,,False,,1,nerea-marti,campos-racing,12,1:36.044,96044,1495,,False,10,,,150.1
fa-9,fa-2,2023,2,9,9,,False,,5,emely-de-heus,mp-motorsport,12,1:36.134,96134,1585,,False,8,,,150.0
fa-9,fa-2,2023,2,10,10,,False,,9,chloe-grant,art-grand-prix,17,1:36.237,96237,1688,,False,4,,,149.8
fa-9,fa-2,2023,2,11,11,,False,,14,chloe-chong,prema-racing,11,1:36.416,96416,1867,,False,8,,,149.5
fa-9,fa-2,2023,2,12,12,,False,,12,megan-gilkes,rodin-carlin,12,1:37.444,97444,2895,,False,9,,,148.0
fa-9,fa-2,2023,2,13,13,,False,,11,jessica-edgar,rodin-carlin,17,1:37.922,97922,3373,,False,9,,,147.2
fa-9,fa-2,2023,2,14,14,,False,,3,maite-caceres,campos-racing,15,1:43.702,103702,9153,,False,3,,,139.0
fa-9,fa-2,2023,2,15,15,,False,,2,lola-lovinfosse,campos-racing,8,1:51.253,111253,16700,,False,4,,,129.6
fa-10,fa-2,2023,2,1,1,,False,,1,nerea-marti,campos-racing,9,1:35.220,95220,,,False,9,,,151.4
fa-10,fa-2,2023,2,2,2,,False,,4,hamda-al-qubaisi,mp-motorsport,9,1:35.336,95336,116,,False,8,,,151.2
